Left [ns] , Right [ns] , Common [ns]
1579097766056037000,1579097766056118000,1579097766056077568
1579097766123179900,1579097766123261000,1579097766123220480
1579097766188310400,1579097766188391400,1579097766188350976
1579097766255470300,1579097766255551300,1579097766255510784
1579097766322631600,1579097766322712600,1579097766322672128
1579097766387765500,1579097766387846500,1579097766387805952
1579097766454919500,1579097766455000500,1579097766454960128
1579097766522075500,1579097766522156500,1579097766522116096
1579097766589260400,1579097766589341400,1579097766589300992
1579097766654356400,1579097766654437400,1579097766654396928
1579097766721541700,1579097766721622700,1579097766721582080
1579097766788688500,1579097766788769500,1579097766788729088
1579097766853817300,1579097766853898300,1579097766853857792
1579097766920964200,1579097766921045300,1579097766921004800
1579097766988121600,1579097766988202600,1579097766988162048
1579097767055272600,1579097767055353700,1579097767055313152
1579097767120400500,1579097767120481600,1579097767120441088
1579097767187559600,1579097767187640600,1579097767187600128
1579097767254714500,1579097767254795500,1579097767254755072
1579097767319831500,1579097767319912500,1579097767319872000
1579097767386968200,1579097767387049200,1579097767387008768
1579097767454104700,1579097767454185700,1579097767454145280
1579097767521280200,1579097767521361300,1579097767521320704
1579097767586366300,1579097767586447300,1579097767586406912
1579097767653553400,1579097767653634400,1579097767653593856
1579097767720705900,1579097767720786900,1579097767720746496
1579097767785820800,1579097767785901800,1579097767785861376
1579097767852967000,1579097767853048000,1579097767853007616
1579097767920107600,1579097767920188600,1579097767920148224
1579097767987236200,1579097767987317200,1579097767987276800
1579097768052365400,1579097768052446400,1579097768052406016
1579097768119501800,1579097768119582900,1579097768119542272
1579097768186661000,1579097768186742100,1579097768186701568
1579097768251790700,1579097768251871700,1579097768251831296
1579097768318951500,1579097768319032500,1579097768318991872
1579097768386120800,1579097768386201800,1579097768386161408
1579097768453319400,1579097768453400400,1579097768453359872
1579097768518417100,1579097768518498100,1579097768518457600
1579097768585604500,1579097768585685500,1579097768585645056
1579097768652760100,1579097768652841100,1579097768652800512
1579097768717908700,1579097768717989700,1579097768717949184
1579097768785065800,1579097768785146900,1579097768785106432
1579097768852226100,1579097768852307100,1579097768852266496
1579097768919410200,1579097768919491200,1579097768919450624
1579097768984570300,1579097768984651400,1579097768984610816
1579097769051741900,1579097769051822900,1579097769051782400
1579097769118818200,1579097769118899300,1579097769118858752
1579097769183854900,1579097769183936000,1579097769183895552
1579097769250915800,1579097769250996900,1579097769250956288
1579097769317973900,1579097769318055000,1579097769318014464
1579097769385065000,1579097769385146100,1579097769385105664
1579097769450070200,1579097769450151300,1579097769450110720
1579097769517166400,1579097769517247500,1579097769517207040
1579097769584211400,1579097769584292400,1579097769584251904
1579097769649261500,1579097769649342500,1579097769649302016
1579097769716329000,1579097769716410000,1579097769716369408
1579097769783400800,1579097769783481900,1579097769783441408
1579097769850468300,1579097769850549400,1579097769850508800
1579097769915511600,1579097769915592700,1579097769915552256
1579097769982571600,1579097769982652700,1579097769982612224
1579097770049641500,1579097770049722600,1579097770049682176
1579097770114684700,1579097770114765800,1579097770114725376
1579097770181730600,1579097770181811700,1579097770181771264
1579097770248782200,1579097770248863200,1579097770248822784
1579097770315872500,1579097770315953500,1579097770315912960
1579097770380864100,1579097770380945200,1579097770380904704
1579097770447944200,1579097770448025300,1579097770447984640
1579097770514997300,1579097770515078400,1579097770515037952
1579097770580038000,1579097770580119100,1579097770580078592
1579097770647090100,1579097770647171100,1579097770647130624
1579097770714142800,1579097770714223800,1579097770714183424
1579097770781203900,1579097770781285000,1579097770781244416
1579097770846242600,1579097770846323700,1579097770846283264
1579097770913303500,1579097770913384600,1579097770913344000
1579097770980446500,1579097770980527500,1579097770980486912
1579097771045590500,1579097771045671600,1579097771045630976
1579097771112752500,1579097771112833600,1579097771112793088
1579097771179914700,1579097771179995700,1579097771179955200
1579097771247109900,1579097771247191000,1579097771247150336
1579097771312206100,1579097771312287200,1579097771312246528
1579097771379392500,1579097771379473600,1579097771379432960
1579097771446531000,1579097771446612100,1579097771446571520
1579097771511651800,1579097771511732900,1579097771511692288
1579097771578798600,1579097771578879700,1579097771578839040
1579097771645941300,1579097771646022400,1579097771645981952
1579097771713104100,1579097771713185200,1579097771713144576
1579097771778216700,1579097771778297800,1579097771778257152
1579097771845368300,1579097771845449400,1579097771845408768
1579097771912505100,1579097771912586100,1579097771912545536
1579097771977621400,1579097771977702400,1579097771977661952
1579097772044777700,1579097772044858800,1579097772044818176
1579097772111931200,1579097772112012300,1579097772111971840
1579097772179121800,1579097772179202900,1579097772179162368
1579097772244210700,1579097772244291800,1579097772244251136
1579097772311390300,1579097772311471400,1579097772311430912
1579097772378537400,1579097772378618500,1579097772378577920
1579097772443658500,1579097772443739500,1579097772443698944
1579097772510802000,1579097772510883100,1579097772510842624
1579097772577946600,1579097772578027700,1579097772577987072
1579097772645096500,1579097772645177600,1579097772645137152
1579097772710227500,1579097772710308600,1579097772710268160
1579097772777358500,1579097772777439600,1579097772777399040
1579097772844495300,1579097772844576400,1579097772844535808
1579097772976743100,1579097772976824200,1579097772976783616
1579097773043887300,1579097773043968400,1579097773043927808
1579097773111028500,1579097773111109600,1579097773111068928
1579097773176150100,1579097773176231200,1579097773176190720
1579097773243261800,1579097773243342900,1579097773243302400
1579097773310400700,1579097773310481800,1579097773310441216
1579097773442694400,1579097773442775500,1579097773442734848
1579097773509842000,1579097773509923100,1579097773509882624
1579097773576989900,1579097773577071000,1579097773577030400
1579097773642107800,1579097773642188900,1579097773642148352
1579097773709241800,1579097773709322900,1579097773709282304
1579097773776369200,1579097773776450300,1579097773776409856
1579097773908641500,1579097773908722600,1579097773908681984
1579097773975776600,1579097773975857800,1579097773975817216
1579097774042904500,1579097774042985600,1579097774042945024
1579097774108024000,1579097774108105100,1579097774108064512
1579097774175159800,1579097774175240900,1579097774175200256
1579097774242345200,1579097774242426300,1579097774242385664
1579097774374610800,1579097774374692000,1579097774374651392
1579097774441771300,1579097774441852400,1579097774441811968
1579097774508973500,1579097774509054600,1579097774509014016
1579097774574080300,1579097774574161400,1579097774574120960
1579097774641289400,1579097774641370500,1579097774641329920
1579097774708458600,1579097774708539700,1579097774708499200
1579097774840736600,1579097774840817800,1579097774840777216
1579097774907946000,1579097774908027200,1579097774907986688
1579097774975109800,1579097774975190900,1579097774975150336
1579097775040245800,1579097775040326900,1579097775040286464
1579097775107415800,1579097775107496900,1579097775107456256
1579097775174582600,1579097775174663700,1579097775174623232
1579097775306872800,1579097775306954000,1579097775306913280
1579097775374025300,1579097775374106500,1579097775374065920
1579097775441176200,1579097775441257300,1579097775441216768
1579097775506283600,1579097775506364800,1579097775506324224
1579097775573438100,1579097775573519200,1579097775573478656
1579097775640589800,1579097775640670900,1579097775640630272
1579097775707753100,1579097775707834200,1579097775707793664
1579097775772889400,1579097775772970500,1579097775772930048
1579097775840059200,1579097775840140300,1579097775840099840
1579097775907221800,1579097775907303000,1579097775907262464
1579097775972365000,1579097775972446100,1579097775972405504
1579097776039530500,1579097776039611600,1579097776039570944
1579097776106754200,1579097776106835400,1579097776106794752
1579097776173925500,1579097776174006600,1579097776173966080
1579097776239059100,1579097776239140200,1579097776239099648
1579097776306233700,1579097776306314900,1579097776306274304
1579097776373407400,1579097776373488500,1579097776373447936
1579097776438558100,1579097776438639300,1579097776438598656
1579097776505720500,1579097776505801600,1579097776505761024
1579097776572894900,1579097776572976100,1579097776572935424
1579097776640061300,1579097776640142400,1579097776640101888
1579097776705198300,1579097776705279500,1579097776705238784
1579097776772360500,1579097776772441700,1579097776772401152
1579097776839528800,1579097776839609900,1579097776839569408
1579097776904685400,1579097776904766500,1579097776904726016
