timestamp px py pz qx qy qz qw
1532199344.612499714 -0.096426982 0.017566330 0.012327562 -0.207161339 -0.036657769 -0.038739513 0.976851902
1532199344.712222576 -0.095992258 0.010242905 0.008399576 -0.189115033 -0.037768229 -0.045063489 0.980193015
1532199344.811964273 -0.097210507 0.006922383 0.009450091 -0.200445705 -0.043173040 -0.031656753 0.978241002
1532199344.860817909 -0.099567563 0.008110582 0.006364132 -0.199837871 -0.044170684 -0.028783174 0.978409579
1532199344.911686182 -0.100199494 0.008202710 0.005374625 -0.202807617 -0.044868460 -0.029569100 0.977743095
1532199345.208839178 -0.098246943 0.003811722 -0.001720362 -0.199136921 -0.059288755 -0.032338546 0.977641831
1532199345.508025646 -0.115961902 -0.002226249 -0.012493338 -0.200726198 -0.080397972 -0.040027299 0.975521899
1532199346.104307890 -0.156318071 -0.002519790 -0.053808973 -0.194879019 -0.134434187 -0.050749069 0.970244376
1532199346.401443481 -0.174978560 0.002384426 -0.078371957 -0.192076677 -0.138478716 -0.044843927 0.970525228
1532199346.997654438 -0.200965731 0.019616708 -0.106153154 -0.194281527 -0.149966834 -0.053259873 0.967950424
1532199347.296422482 -0.206631554 0.040192788 -0.107562597 -0.203013993 -0.155547589 -0.053610726 0.965254452
1532199347.741508961 -0.223702386 0.039221117 -0.109202827 -0.203135984 -0.174013212 -0.054095750 0.962044086
1532199348.287808418 -0.229367495 0.034966660 -0.106314400 -0.198370276 -0.189732064 -0.042337966 0.960655232
1532199348.783422470 -0.217361621 0.032896131 -0.095256000 -0.196056419 -0.150763910 -0.047720624 0.967757648
1532199349.827533007 -0.127042846 0.018386569 -0.061492874 -0.170568866 -0.008665134 -0.051579775 0.983956658
1532199349.976183653 -0.110761493 0.015253929 -0.057379571 -0.170011636 0.012856861 -0.053894347 0.983883196
1532199350.124814272 -0.093951035 0.010983756 -0.052939722 -0.169751151 0.029673896 -0.055930059 0.983450983
1532199350.473059654 -0.064355754 0.000560859 -0.046916676 -0.170687947 0.064778735 -0.057021970 0.981538504
1532199350.821199179 -0.039877070 -0.001714682 -0.038212336 -0.168240698 0.091959469 -0.063756559 0.979374099
1532199351.218056917 -0.034735415 -0.011735018 -0.039158688 -0.164707833 0.094773030 -0.059404127 0.979979873
1532199351.317775249 -0.035311399 -0.010864483 -0.038346888 -0.164551624 0.092054768 -0.057687163 0.980367724
1532199351.616926670 -0.033765127 -0.017163686 -0.037230873 -0.166303230 0.053502059 -0.055956178 0.983030860
1532199351.914100885 -0.041931895 -0.015036730 -0.040197065 -0.176771738 0.000384846 -0.046950322 0.983131360
1532199352.062670231 -0.061192357 -0.016819659 -0.040449943 -0.181295622 -0.012323920 -0.041804910 0.982462400
1532199352.361860037 -0.046841938 -0.008195950 -0.045169492 -0.190901144 -0.018468754 -0.042653827 0.980508189
1532199352.658987999 -0.067891984 0.009558189 -0.045823203 -0.204131723 -0.020870499 -0.043226355 0.977765894
1532199352.907313347 -0.075044820 0.019457826 -0.046806894 -0.216638842 -0.025787422 -0.044041285 0.974916913
1532199353.106744766 -0.086350434 0.041931919 -0.047667994 -0.229704202 -0.025061647 -0.042454037 0.972011084
1532199353.355040789 -0.098393741 0.066189673 -0.057555654 -0.257702083 -0.030433138 -0.041374948 0.964858318
1532199353.405913353 -0.099863967 0.069190339 -0.058537413 -0.263906686 -0.032898551 -0.041222223 0.963105225
1532199353.454760790 -0.102270247 0.072519076 -0.058756065 -0.269169202 -0.034497966 -0.040599206 0.961618186
1532199353.751897573 -0.107406274 0.099118169 -0.066548800 -0.300274522 -0.040417797 -0.040530550 0.952133860
1532199354.002231836 -0.110622672 0.115320568 -0.076332114 -0.328256707 -0.046193109 -0.042194950 0.942514359
1532199354.250487566 -0.114187010 0.137151976 -0.085639439 -0.351620691 -0.051278185 -0.043869050 0.933707097
1532199355.540908575 -0.120124997 0.171198248 -0.062806734 -0.362201100 -0.061056640 -0.049671656 0.928770788
1532199355.839931965 -0.115615303 0.156120029 -0.041871628 -0.331962177 -0.058675074 -0.052817181 0.939983348
1532199355.988309860 -0.110648006 0.145468361 -0.030852321 -0.314938242 -0.057459713 -0.054561310 0.945798789
1532199356.088062286 -0.107823966 0.136559260 -0.024608307 -0.302997258 -0.056090048 -0.056165869 0.949679927
